geneID,test,log2FoldChange,pvalue,From,Gene Names,Gene Name
Abca3,group2/group1,0.4,0.706440630474393,Abca3,ABCA3 ABC3,ABCA3
Abca4,group2/group1,0.0,1.0,Abca4,ABCA4 ABCR,ABCA4
Abca5,group2/group1,6.6,0.145146918314199,Abca5,ABCA5 KIAA1888,ABCA5
Abca6,group2/group1,0.0,1.0,Abca6,ABCA6,ABCA6
Abca7,group2/group1,-7.66,0.0379093321921723,Abca7,ABCA7,ABCA7
Abca9,group2/group1,4.33,0.260240896427359,Abca9,ABCA9,ABCA9
Abcb10,group2/group1,-0.59,0.744722740733814,Abcb10,ABCB10,ABCB10
Abcb11,group2/group1,0.0,1.0,Abcb11,ABCB11 BSEP,ABCB11
Abcb4,group2/group1,-1.54,0.50678244237783,Abcb4,ABCB4 MDR3 PGY3,ABCB4
Abcb5,group2/group1,0.0,1.0,Abcb5,ABCB5,ABCB5
Abcb6,group2/group1,-0.3,0.865620018301585,Abcb6,ABCB6 MTABC3 PRP UMAT,ABCB6
Abcb7,group2/group1,-7.08,0.0707507587092973,Abcb7,ABCB7 ABC7,ABCB7
Abcb8,group2/group1,0.47,0.82689341532754,Abcb8,ABCB8 MABC1 MITOSUR,ABCB8
Abcb9,group2/group1,-2.48,0.389889917858562,Abcb9,ABCB9 KIAA1520,ABCB9
Abcc1,group2/group1,0.98,0.288715484191845,Abcc1,ABCC1 MRP MRP1,ABCC1
Abcc10,group2/group1,0.0,1.0,Abcc10,ABCC10 MRP7 SIMRP7,ABCC10
Abcc12,group2/group1,0.0,1.0,Abcc12,ABCC12 MRP9,ABCC12
Abcc2,group2/group1,0.0,1.0,Abcc2,ABCC2 CMOAT CMOAT1 CMRP MRP2,ABCC2
Abcc3,group2/group1,1.82,0.446761279037684,Abcc3,ABCC3 CMOAT2 MLP2 MRP3,ABCC3
Abcc4,group2/group1,-2.33,0.456344601563752,Abcc4,ABCC4 MOATB MRP4,ABCC4
Abcc5,group2/group1,1.41,0.569655637044955,Abcc5,ABCC5 MRP5,ABCC5
Abcc6,group2/group1,0.0,1.0,Abcc6,ABCC6 ARA MRP6,ABCC6
Abcc8,group2/group1,0.0,1.0,Abcc8,ABCC8 HRINS SUR SUR1,ABCC8
Abcc9,group2/group1,0.0,1.0,Abcc9,ABCC9 SUR2,ABCC9
Abcd1,group2/group1,0.25,0.797879291306476,Abcd1,ABCD1 ALD,ABCD1
Abcd2,group2/group1,-5.25,0.237891578965409,Abcd2,ABCD2 ALD1 ALDL1 ALDR ALDRP,ABCD2
Abcd3,group2/group1,6.23,0.0509114404020396,Abcd3,ABCD3 PMP70 PXMP1,ABCD3
Abcd4,group2/group1,7.11,0.106179489373296,Abcd4,ABCD4 PXMP1L,ABCD4
Abce1,group2/group1,0.65,0.323546017764275,Abce1,ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40,ABCE1
Abcf1,group2/group1,-0.03,0.968525320407325,Abcf1,ABCF1 ABC50,ABCF1
Abcf2,group2/group1,0.25,0.847651478084071,Abcf2,ABCF2 HUSSY-18,ABCF2
Abcf3,group2/group1,1.81,0.0334291488287382,Abcf3,ABCF3,ABCF3
Abcg1,group2/group1,0.26,0.857893243560865,Abcg1,ABCG1 ABC8 WHT1,ABCG1
Abcg2,group2/group1,-6.49,0.162835961516824,Abcg2,ABCG2 ABCP BCRP BCRP1 MXR,ABCG2
Abcg4,group2/group1,0.0,1.0,Abcg4,ABCG4 WHITE2,ABCG4
Abcg5,group2/group1,0.0,1.0,Abcg5,ABCG5,ABCG5
Abcg8,group2/group1,0.0,1.0,Abcg8,ABCG8,ABCG8
Abhd1,group2/group1,0.0,1.0,Abhd1,ABHD1 LABH1,ABHD1
Abhd10,group2/group1,0.09,0.940522310596191,Abhd10,ABHD10,ABHD10
Abhd11,group2/group1,1.15,0.152954041010918,Abhd11,ABHD11 WBSCR21 PP1226,ABHD11
Abhd12,group2/group1,-0.47,0.570943139755756,Abhd12,ABHD12 C20orf22,ABHD12
Abhd12b,group2/group1,0.0,1.0,Abhd12b,ABHD12B C14orf29,ABHD12B
Abhd13,group2/group1,6.98,0.1143558855248,Abhd13,ABHD13 C13orf6,ABHD13
Abhd14a,group2/group1,5.88,0.108378436267007,Abhd14a,ABHD14A UNQ1913/PRO4373,ABHD14A
Abhd14b,group2/group1,1.82,0.596208651008198,Abhd14b,ABHD14B CIB,ABHD14B
Abhd15,group2/group1,7.15,0.102764738786987,Abhd15,ABHD15 UNQ6510/PRO21435,ABHD15
Abhd16a,group2/group1,0.21,0.691750076970433,Abhd16a,ABHD16A BAT5 G5 NG26 PP199,ABHD16A
Abhd16b,group2/group1,0.0,1.0,Abhd16b,ABHD16B C20orf135,ABHD16B
Abhd17a,group2/group1,-1.19,0.489275745255013,Abhd17a,ABHD17A C19orf27 FAM108A1,ABHD17A
Abhd17b,group2/group1,-0.33,0.883515400690224,Abhd17b,ABHD17B C9orf77 FAM108B1 CGI-67,ABHD17B
Abhd17c,group2/group1,0.81,0.666996271291666,Abhd17c,ABHD17C FAM108C1,ABHD17C
Abhd2,group2/group1,0.75,0.775457247507505,Abhd2,ABHD2 LABH2,ABHD2
Abhd3,group2/group1,0.0,1.0,Abhd3,ABHD3,ABHD3
Abhd4,group2/group1,1.32,0.170331557737612,Abhd4,ABHD4,ABHD4
Abhd5,group2/group1,-0.12,0.940931357602154,Abhd5,ABHD5 NCIE2 CGI-58,ABHD5
Abhd6,group2/group1,-0.53,0.818960256545205,Abhd6,ABHD6,ABHD6
Abhd8,group2/group1,-6.84,0.0941788313249396,Abhd8,ABHD8,ABHD8
Abi1,group2/group1,-0.01,0.980944449747633,Abi1,ABI1 SSH3BP1,ABI1
Abi2,group2/group1,1.01,0.678084625433293,Abi2,ABI2 ARGBPIA,ABI2
Abi3,group2/group1,2.05,0.331129544838209,Abi3,ABI3 NESH,ABI3
Abi3bp,group2/group1,-1.91,0.540840419230695,Abi3bp,ABI3BP NESHBP TARSH,ABI3BP
Abl1,group2/group1,-2.03,0.541623175656513,Abl1,ABL1 ABL JTK7,ABL1
Abl2,group2/group1,0.3,0.834195007305409,Abl2,ABL2 ABLL ARG,ABL2
Ablim1,group2/group1,0.0,1.0,Ablim1,ABLIM1 ABLIM KIAA0059 LIMAB1,ABLIM1
Ablim2,group2/group1,7.0,0.112740810819528,Ablim2,ABLIM2 KIAA1808,ABLIM2
Ablim3,group2/group1,1.82,0.446761279037684,Ablim3,ABLIM3 KIAA0843 HMFN1661,ABLIM3
Abo,group2/group1,0.0,1.0,Abo,ABO,ABO
Abr,group2/group1,-0.39,0.838357619359004,Abr,ABR,ABR
Abra,group2/group1,0.0,1.0,Abra,ABRA,ABRA
Abracl,group2/group1,-0.44,0.35814562644321,Abracl,ABRACL C6orf115 HSPC280 PRO2013,ABRACL
Abt1,group2/group1,-3.6,0.149651194707251,Abt1,ABT1,ABT1
Abtb1,group2/group1,0.7,0.608900732394133,Abtb1,ABTB1 BPOZ PP2259,ABTB1
Abtb2,group2/group1,-0.6,0.815514126535745,Abtb2,ABTB2,ABTB2
Acaa2,group2/group1,-1.54,0.0918357060007933,Acaa2,ACAA2,ACAA2
Acaca,group2/group1,-6.53,0.119307995166039,Acaca,ACACA ACAC ACC1 ACCA,ACACA
Acacb,group2/group1,0.0,1.0,Acacb,ACACB ACC2 ACCB,ACACB
Acad10,group2/group1,-5.08,0.244632173846332,Acad10,ACAD10,ACAD10
Acad11,group2/group1,2.29,0.420835613025278,Acad11,ACAD11,ACAD11
Acad8,group2/group1,0.42,0.816980625760713,Acad8,ACAD8 ARC42 IBD,ACAD8
Acad9,group2/group1,-0.64,0.391191675306407,Acad9,ACAD9,ACAD9
Acadl,group2/group1,-0.34,0.289131583891851,Acadl,ACADL,ACADL
Acadm,group2/group1,-0.66,0.303156451815598,Acadm,ACADM,ACADM
Acads,group2/group1,0.8,0.686503699085008,Acads,ACADS,ACADS
Acadsb,group2/group1,0.12,0.93551094421089,Acadsb,ACADSB,ACADSB
Acadvl,group2/group1,0.37,0.430479839844619,Acadvl,ACADVL VLCAD,ACADVL
Acan,group2/group1,0.0,1.0,Acan,ACAN AGC1 CSPG1 MSK16,ACAN
Acap1,group2/group1,-2.98,0.166348225263584,Acap1,ACAP1 CENTB1 KIAA0050,ACAP1
Acap2,group2/group1,0.14,0.803943867871188,Acap2,ACAP2 CENTB2 KIAA0041,ACAP2
Acap3,group2/group1,-6.11,0.192197153527776,Acap3,ACAP3 CENTB5 KIAA1716,ACAP3
Acat1,group2/group1,-1.23,0.127717994978408,Acat1,ACAT1 ACAT MAT,ACAT1
Acat1,group2/group1,-1.23,0.127717994978408,Acat1,SOAT1 ACACT ACACT1 ACAT ACAT1 SOAT STAT,SOAT1
Acat2,group2/group1,1.45,0.439787246180584,Acat2,SOAT2 ACACT2 ACAT2,SOAT2
Acat2,group2/group1,1.45,0.439787246180584,Acat2,ACAT2 ACTL,ACAT2
Acbd3,group2/group1,0.63,0.631103942324893,Acbd3,ACBD3 GCP60 GOCAP1 GOLPH1,ACBD3
Acbd4,group2/group1,0.97,0.688603133584537,Acbd4,ACBD4 HMFT0700,ACBD4
Acbd5,group2/group1,0.32,0.660680527114327,Acbd5,ACBD5 KIAA1996,ACBD5
Acbd6,group2/group1,-0.17,0.821657910212622,Acbd6,ACBD6,ACBD6
Acbd7,group2/group1,0.0,1.0,Acbd7,ACBD7,ACBD7
Accs,group2/group1,0.59,0.788558298738895,Accs,ACCS PHACS,ACCS
Accsl,group2/group1,0.0,1.0,Accsl,ACCSL,ACCSL
Acd,group2/group1,0.42,0.572320855199698,Acd,ACD PIP1 PTOP TINT1 TPP1,ACD
Ace,group2/group1,0.0,1.0,Ace,ACE DCP DCP1,ACE
Ace2,group2/group1,0.0,1.0,Ace2,ACE2 UNQ868/PRO1885,ACE2
Acer1,group2/group1,0.0,1.0,Acer1,ACER1 ASAH3,ACER1
Acer2,group2/group1,0.0,1.0,Acer2,ACER2 ASAH3L PP11646,ACER2
Acer3,group2/group1,-0.19,0.732519531207715,Acer3,ACER3 APHC PHCA,ACER3
Ache,group2/group1,0.0,1.0,Ache,ACHE,ACHE
Acin1,group2/group1,0.58,0.356167704550744,Acin1,ACIN1 ACINUS KIAA0670,ACIN1
Ackr1,group2/group1,0.0,1.0,Ackr1,ACKR1 DARC FY GPD,ACKR1
Ackr2,group2/group1,0.0,1.0,Ackr2,ACKR2 CCBP2 CCR10 CMKBR9 D6,ACKR2
Ackr3,group2/group1,6.24,0.017591778874378,Ackr3,ACKR3 CMKOR1 CXCR7 GPR159 RDC1,ACKR3
Ackr4,group2/group1,0.0,1.0,Ackr4,ACKR4 CCBP2 CCR11 CCRL1 VSHK1,ACKR4
Acly,group2/group1,0.71,0.113175124218285,Acly,ACLY,ACLY
Acmsd,group2/group1,0.0,1.0,Acmsd,ACMSD,ACMSD
Aco1,group2/group1,0.55,0.57089739606157,Aco1,ACO1 IREB1,ACO1
Aco2,group2/group1,0.69,0.147041019885078,Aco2,ACO2,ACO2
Acot1,group2/group1,-3.27,0.326439284058717,Acot1,ACOT1 CTE1,ACOT1
Acot11,group2/group1,4.47,0.211921985722269,Acot11,ACOT11 BFIT KIAA0707 THEA,ACOT11
Acot12,group2/group1,0.0,1.0,Acot12,ACOT12 CACH CACH1 STARD15,ACOT12
Acot13,group2/group1,0.52,0.559758566518965,Acot13,ACOT13 THEM2 HT012 PNAS-27,ACOT13
Acot2,group2/group1,-4.06,0.203649005825897,Acot2,ACOT2 PTE2 PTE2A,ACOT2
Acot4,group2/group1,0.0,1.0,Acot4,ACOT4 PTE2B PTEIB,ACOT4
Acot6,group2/group1,-5.32,0.201344590998289,Acot6,ACOT6 C14orf42,ACOT6
Acot7,group2/group1,0.33,0.329347393794022,Acot7,ACOT7 BACH,ACOT7
Acot8,group2/group1,0.52,0.748826225111327,Acot8,ACOT8 ACTEIII PTE1,ACOT8
Acot9,group2/group1,0.91,0.0697444149926795,Acot9,ACOT9 CGI-16,ACOT9
Acox1,group2/group1,-4.05,0.23160185096209,Acox1,ACOX1 ACOX,ACOX1
Acox2,group2/group1,0.0,1.0,Acox2,ACOX2,ACOX2
Acox3,group2/group1,-0.14,0.83693768988707,Acox3,ACOX3 BRCOX PRCOX,ACOX3
Acoxl,group2/group1,0.0,1.0,Acoxl,ACOXL,ACOXL
Acp1,group2/group1,0.2,0.650700224170071,Acp1,ACP1,ACP1
Acp2,group2/group1,-0.26,0.90511165468557,Acp2,ACP2,ACP2
Acp5,group2/group1,-0.05,0.978465883261974,Acp5,ACP5,ACP5
Acp6,group2/group1,0.33,0.857018213770845,Acp6,ACP6 ACPL1 LPAP UNQ205/PRO231,ACP6
Acpp,group2/group1,-3.51,0.311742053924686,Acpp,ACP3 ACPP,ACP3
Acpt,group2/group1,0.0,1.0,Acpt,ACP4 ACPT,ACP4
Acr,group2/group1,0.0,1.0,Acr,ACR ACRS,ACR
Acrbp,group2/group1,-5.93,0.170396223073092,Acrbp,ACRBP,ACRBP
Acrv1,group2/group1,0.0,1.0,Acrv1,ACRV1,ACRV1
Acsbg1,group2/group1,0.0,1.0,Acsbg1,ACSBG1 BGM KIAA0631 LPD,ACSBG1
Acsbg2,group2/group1,0.0,1.0,Acsbg2,ACSBG2 BGR UNQ2443/PRO5005,ACSBG2
Acsf2,group2/group1,0.39,0.893419073438347,Acsf2,ACSF2 UNQ493/PRO1009,ACSF2
Acsf3,group2/group1,0.24,0.939616024159179,Acsf3,ACSF3 PSEC0197,ACSF3
Acsl1,group2/group1,1.07,0.250590510684777,Acsl1,ACSL1 FACL1 FACL2 LACS LACS1 LACS2,ACSL1
Acsl3,group2/group1,5.25,0.225551528961686,Acsl3,ACSL3 ACS3 FACL3 LACS3,ACSL3
Acsl4,group2/group1,-0.11,0.86356434302542,Acsl4,ACSL4 ACS4 FACL4 LACS4,ACSL4
Acsl5,group2/group1,-0.73,0.341050435174932,Acsl5,ACSL5 ACS5 FACL5 UNQ633/PRO1250,ACSL5
Acsl6,group2/group1,0.0,1.0,Acsl6,ACSL6 ACS2 FACL6 KIAA0837 LACS5,ACSL6
Acsm1,group2/group1,0.0,1.0,Acsm1,ACSM1 BUCS1 LAE MACS1,ACSM1
Acsm2,group2/group1,0.0,1.0,Acsm2,ACSM2A ACSM2 MACS2,ACSM2A
Acsm2,group2/group1,0.0,1.0,Acsm2,ACSM2B ACSM2 HYST1046,ACSM2B
Acsm3,group2/group1,0.0,1.0,Acsm3,ACSM3 SAH,ACSM3
Acsm4,group2/group1,0.0,1.0,Acsm4,ACSM4,ACSM4
Acsm5,group2/group1,0.0,1.0,Acsm5,ACSM5 MACS3,ACSM5
Acss1,group2/group1,-2.78,0.0682034280571,Acss1,ACSS1 ACAS2L KIAA1846,ACSS1
Acss2,group2/group1,3.26,0.253796694899917,Acss2,ACSS2 ACAS2,ACSS2
Acss3,group2/group1,0.0,1.0,Acss3,ACSS3,ACSS3
Acta1,group2/group1,-0.08,0.965173079441354,Acta1,ACTA1 ACTA,ACTA1
Acta2,group2/group1,-2.11,0.410689276053467,Acta2,ACTA2 ACTSA ACTVS GIG46,ACTA2
Actb,group2/group1,0.04,0.859896553060522,Actb,ACTB,ACTB
Actbl2,group2/group1,0.0,1.0,Actbl2,ACTBL2,ACTBL2
Actc1,group2/group1,0.0,1.0,Actc1,ACTC1 ACTC,ACTC1
Actg1,group2/group1,-0.13,0.580333714961861,Actg1,ACTG1 ACTG,ACTG1
Actg2,group2/group1,0.0,1.0,Actg2,ACTG2 ACTA3 ACTL3 ACTSG,ACTG2
Actl10,group2/group1,0.0,1.0,Actl10,ACTL10 C20orf134,ACTL10
Actl6a,group2/group1,-0.59,0.248883180103764,Actl6a,ACTL6A BAF53 BAF53A INO80K,ACTL6A
Actl6b,group2/group1,0.0,1.0,Actl6b,ACTL6B ACTL6 BAF53B,ACTL6B
Actl7a,group2/group1,0.0,1.0,Actl7a,ACTL7A,ACTL7A
Actl7b,group2/group1,0.0,1.0,Actl7b,ACTL7B,ACTL7B
Actl9,group2/group1,0.0,1.0,Actl9,ACTL9 ACTL7C HSD21,ACTL9
Actn1,group2/group1,1.05,0.549481186859101,Actn1,ACTN1,ACTN1
Actn2,group2/group1,0.0,1.0,Actn2,ACTN2,ACTN2
Actn3,group2/group1,0.0,1.0,Actn3,ACTN3,ACTN3
Actn4,group2/group1,0.84,0.133081213720354,Actn4,ACTN4,ACTN4
Actr10,group2/group1,0.35,0.410834105500067,Actr10,ACTR10 ACTR11 ARP10 ARP11,ACTR10
Actr1a,group2/group1,0.32,0.63928906412931,Actr1a,ACTR1A CTRN1,ACTR1A
Actr1b,group2/group1,-0.17,0.828418294310103,Actr1b,ACTR1B CTRN2,ACTR1B
Actr2,group2/group1,-0.31,0.392668527839162,Actr2,ACTR2 ARP2,ACTR2
Actr3,group2/group1,-0.37,0.171389989491721,Actr3,ACTR3 ARP3,ACTR3
Actr3b,group2/group1,0.0,1.0,Actr3b,ACTR3B ARP11 ARP4,ACTR3B
Actr5,group2/group1,-6.03,0.197552183463574,Actr5,ACTR5 ARP5,ACTR5
Actr6,group2/group1,-0.27,0.870941474071165,Actr6,ACTR6 CDA12,ACTR6
Actr8,group2/group1,0.15,0.909748156040037,Actr8,ACTR8 ARP8 INO80N,ACTR8
Actrt1,group2/group1,0.0,1.0,Actrt1,ACTRT1 ARPT1 HSD27,ACTRT1
Actrt2,group2/group1,0.0,1.0,Actrt2,ACTRT2 ARPM2,ACTRT2
Actrt3,group2/group1,0.0,1.0,Actrt3,ACTRT3 ARPM1,ACTRT3
Acvr1,group2/group1,2.3,0.46879223022274,Acvr1,ACVR1 ACVRLK2,ACVR1
Acvr1b,group2/group1,-2.96,0.348574555791199,Acvr1b,ACVR1B ACVRLK4 ALK4,ACVR1B
Acvr1c,group2/group1,0.0,1.0,Acvr1c,ACVR1C ALK7,ACVR1C
Acvr2a,group2/group1,-6.92,0.127416747258315,Acvr2a,ACVR2A ACVR2,ACVR2A
Acvr2b,group2/group1,0.0,1.0,Acvr2b,ACVR2B,ACVR2B
Acvrl1,group2/group1,0.08,0.840453313613529,Acvrl1,ACVRL1 ACVRLK1 ALK1,ACVRL1
Acy1,group2/group1,0.0,1.0,Acy1,ACY1,ACY1
Acy3,group2/group1,0.0,1.0,Acy3,ACY3 ASPA2,ACY3
Acyp1,group2/group1,-0.73,0.761903476572704,Acyp1,ACYP1 ACYPE,ACYP1
Acyp2,group2/group1,-5.55,0.225764451924709,Acyp2,ACYP2 ACYP,ACYP2
Ada,group2/group1,-7.13,0.0665105567150847,Ada,ADA ADA1,ADA
Adad1,group2/group1,0.0,1.0,Adad1,ADAD1 TENR,ADAD1
Adad2,group2/group1,0.0,1.0,Adad2,ADAD2 TENRL,ADAD2
Adal,group2/group1,-6.41,0.168717453886299,Adal,ADAL ADAL1,ADAL
Adam10,group2/group1,-0.5,0.784969750797432,Adam10,ADAM10 KUZ MADM,ADAM10
Adam11,group2/group1,-5.69,0.218303983603314,Adam11,ADAM11 MDC,ADAM11
Adam12,group2/group1,0.0,1.0,Adam12,ADAM12 MLTN UNQ346/PRO545,ADAM12
Adam15,group2/group1,1.61,0.107012699132398,Adam15,ADAM15 MDC15,ADAM15
Adam17,group2/group1,0.7,0.279903259989119,Adam17,ADAM17 CSVP TACE,ADAM17
Adam18,group2/group1,0.0,1.0,Adam18,ADAM18 TMDC3 UNQ858/PRO1867,ADAM18
Adam19,group2/group1,0.68,0.357682790784321,Adam19,ADAM19 MLTNB FKSG34,ADAM19
Adam2,group2/group1,0.0,1.0,Adam2,ADAM2 FTNB,ADAM2
Adam20,group2/group1,0.0,1.0,Adam20,ADAM20,ADAM20
Adam21,group2/group1,0.0,1.0,Adam21,ADAM21,ADAM21
Adam22,group2/group1,-4.88,0.234467912686075,Adam22,ADAM22 MDC2,ADAM22
Adam23,group2/group1,-0.27,0.92679878232049,Adam23,ADAM23 MDC3,ADAM23
Adam23,group2/group1,-0.27,0.92679878232049,Adam23,ADAM28 ADAM23 MDCL,ADAM28
Adam28,group2/group1,0.0,1.0,Adam28,ADAM28 ADAM23 MDCL,ADAM28
Adam29,group2/group1,0.0,1.0,Adam29,ADAM29,ADAM29
Adam30,group2/group1,0.0,1.0,Adam30,ADAM30 UNQ2509/PRO5997,ADAM30
Adam32,group2/group1,0.0,1.0,Adam32,ADAM32 UNQ5982/PRO21340,ADAM32
Adam33,group2/group1,0.0,1.0,Adam33,ADAM33 C20orf153 UNQ873/PRO1891,ADAM33
Adam5,group2/group1,0.0,1.0,Adam5,ADAM5 ADAM5P TMDC2,ADAM5
Adam7,group2/group1,0.0,1.0,Adam7,ADAM7 GP83,ADAM7
Adam8,group2/group1,0.65,0.108422719477464,Adam8,ADAM8 MS2,ADAM8
Adam9,group2/group1,0.66,0.697493126013257,Adam9,ADAM9 KIAA0021 MCMP MDC9 MLTNG,ADAM9
Adamdec1,group2/group1,1.6,0.470266616207568,Adamdec1,ADAMDEC1,ADAMDEC1
Adamts1,group2/group1,8.04,0.0391208899094008,Adamts1,ADAMTS1 KIAA1346 METH1,ADAMTS1
Adamts10,group2/group1,-6.14,0.151523397721782,Adamts10,ADAMTS10,ADAMTS10
Adamts12,group2/group1,0.0,1.0,Adamts12,ADAMTS12 UNQ1918/PRO4389,ADAMTS12
Adamts13,group2/group1,0.0,1.0,Adamts13,ADAMTS13 C9orf8 UNQ6102/PRO20085,ADAMTS13
Adamts14,group2/group1,0.0,1.0,Adamts14,ADAMTS14,ADAMTS14
Adamts15,group2/group1,0.0,1.0,Adamts15,ADAMTS15,ADAMTS15
Adamts16,group2/group1,0.0,1.0,Adamts16,ADAMTS16 KIAA2029,ADAMTS16
Adamts17,group2/group1,0.0,1.0,Adamts17,ADAMTS17,ADAMTS17
Adamts18,group2/group1,0.0,1.0,Adamts18,ADAMTS18 ADAMTS21,ADAMTS18
Adamts19,group2/group1,0.0,1.0,Adamts19,ADAMTS19,ADAMTS19
Adamts2,group2/group1,0.0,1.0,Adamts2,ADAMTS2 PCINP PCPNI,ADAMTS2
Adamts20,group2/group1,0.0,1.0,Adamts20,ADAMTS20,ADAMTS20
Adamts3,group2/group1,0.0,1.0,Adamts3,ADAMTS3 KIAA0366,ADAMTS3
Adamts4,group2/group1,8.42,0.0255414586116573,Adamts4,ADAMTS4 KIAA0688 UNQ769/PRO1563,ADAMTS4
Adamts5,group2/group1,0.0,1.0,Adamts5,ADAMTS5 ADAMTS11 ADMP2,ADAMTS5
Adamts6,group2/group1,0.0,1.0,Adamts6,ADAMTS6,ADAMTS6
Adamts7,group2/group1,0.0,1.0,Adamts7,ADAMTS7,ADAMTS7
Adamts8,group2/group1,0.0,1.0,Adamts8,ADAMTS8 METH2,ADAMTS8
Adamts9,group2/group1,0.0,1.0,Adamts9,ADAMTS9 KIAA1312,ADAMTS9
Adamtsl1,group2/group1,0.0,1.0,Adamtsl1,ADAMTSL1 ADAMTSR1 C9orf94 UNQ528/PRO1071,ADAMTSL1
Adamtsl2,group2/group1,0.0,1.0,Adamtsl2,ADAMTSL2 KIAA0605,ADAMTSL2
Adamtsl3,group2/group1,0.0,1.0,Adamtsl3,ADAMTSL3 KIAA1233,ADAMTSL3
Adamtsl4,group2/group1,3.31,0.18971247594209,Adamtsl4,ADAMTSL4 TSRC1 PP1396 UNQ2803/PRO34012,ADAMTSL4
Adamtsl5,group2/group1,7.67,0.0602800394975903,Adamtsl5,ADAMTSL5 THSD6,ADAMTSL5
Adap1,group2/group1,7.86,0.0156504319188431,Adap1,ADAP1 CENTA1,ADAP1
Adap2,group2/group1,0.53,0.609262726574425,Adap2,ADAP2 CENTA2,ADAP2
Adar,group2/group1,1.06,0.39506197272698,Adar,ADAR ADAR1 DSRAD G1P1 IFI4,ADAR
Adarb1,group2/group1,1.82,0.446761279037684,Adarb1,ADARB1 ADAR2 DRADA2 RED1,ADARB1
Adarb2,group2/group1,0.0,1.0,Adarb2,ADARB2 ADAR3 RED2,ADARB2
Adat1,group2/group1,-2.75,0.365556080018215,Adat1,ADAT1,ADAT1
Adat2,group2/group1,-5.87,0.207230388356738,Adat2,ADAT2 DEADC1,ADAT2
Adat3,group2/group1,-5.66,0.220251878469834,Adat3,ADAT3 TAD3,ADAT3
Adck1,group2/group1,-2.31,0.381518814506017,Adck1,ADCK1,ADCK1
Adck2,group2/group1,-0.53,0.772086252443495,Adck2,ADCK2 AARF,ADCK2
Adck3,group2/group1,3.61,0.26963122643244,Adck3,COQ8A ADCK3 CABC1 PP265,COQ8A
Adck4,group2/group1,0.85,0.565621275547302,Adck4,COQ8B ADCK4,COQ8B
Adck5,group2/group1,-5.29,0.112972859243748,Adck5,ADCK5,ADCK5
Adcy1,group2/group1,0.0,1.0,Adcy1,ADCY1,ADCY1
